uid,num_commits,pageviews,AVG(diff)
user_1,62,28.0,
user_1,62,28.0,
user_1,62,28.0,
user_1,62,28.0,
user_1,62,28.0,
user_1,62,28.0,
user_10,20,89.0,
user_10,20,89.0,
user_10,20,89.0,
user_10,20,89.0,
user_10,20,89.0,
user_10,20,89.0,
user_11,7,,-2.0
user_12,86,,-89.0
user_13,52,,-48.5
user_14,61,143.0,
user_14,61,143.0,
user_14,61,143.0,
user_14,61,143.0,
user_15,23,,-17.5
user_16,41,,-39.333333333333336
user_17,51,47.0,
user_17,51,47.0,
user_17,51,47.0,
user_17,51,47.0,
user_17,51,47.0,
user_17,51,47.0,
user_18,5,3.0,
user_18,5,3.0,
user_18,5,3.0,
user_18,5,3.0,
user_19,118,16.0,
user_19,118,16.0,
user_19,118,16.0,
user_19,118,16.0,
user_19,118,16.0,
user_2,46,,-137.2
user_20,57,,-27.0
user_21,65,10.0,
user_21,65,10.0,
user_21,65,10.0,
user_21,65,10.0,
user_21,65,10.0,
user_22,5,,-141.4
user_23,6,,-84.0
user_24,37,,-223.6
user_25,79,179.0,
user_25,79,179.0,
user_25,79,179.0,
user_25,79,179.0,
user_25,79,179.0,
user_25,79,179.0,
user_26,36,,-52.333333333333336
user_27,27,,-5.333333333333333
user_28,60,149.0,
user_28,60,149.0,
user_28,60,149.0,
user_28,60,149.0,
user_28,60,149.0,
user_28,60,149.0,
user_29,51,,-157.4
user_3,18,317.0,
user_3,18,317.0,
user_3,18,317.0,
user_3,18,317.0,
user_3,18,317.0,
user_3,18,317.0,
user_30,34,3.0,
user_30,34,3.0,
user_30,34,3.0,
user_30,34,3.0,
user_30,34,3.0,
user_31,128,,-104.75
user_4,40,,-175.6
user_6,15,,-62.6
user_7,8,,-115.5
user_8,71,,-160.4
