uid,num_commits,pageviews,AVG(diff)
user_1,62,28.0,-64.4
user_10,20,89.0,-74.8
user_14,61,143.0,-159.0
user_17,51,47.0,-61.6
user_18,5,3.0,-5.666666666666667
user_19,118,16.0,-98.75
user_21,65,10.0,-95.5
user_25,79,179.0,-92.6
user_28,60,149.0,-86.4
user_3,18,317.0,-105.4
user_30,34,3.0,-145.25
user_11,7,0.0,-2.0
user_12,86,0.0,-89.0
user_13,52,0.0,-48.5
user_15,23,0.0,-17.5
user_16,41,0.0,-39.333333333333336
user_2,46,0.0,-137.2
user_20,57,0.0,-27.0
user_22,5,0.0,-141.4
user_23,6,0.0,-84.0
user_24,37,0.0,-223.6
user_26,36,0.0,-52.333333333333336
user_27,27,0.0,-5.333333333333333
user_29,51,0.0,-157.4
user_31,128,0.0,-104.75
user_4,40,0.0,-175.6
user_6,15,0.0,-62.6
user_7,8,0.0,-115.5
user_8,71,0.0,-160.4
