,title,links,ratings
0,Barbari Bread (Nan-e Barbari),https://www.epicurious.com/recipes/food/views/barbari-bread-nan-e-barbari,5
1,Fragrant Mixed Herb and Flatbread Salad,https://www.epicurious.com/recipes/food/views/persian-fragrant-mixed-herb-and-flatbread-salad-domaaj,3
2,Pistachio and Pomegranate Meatballs ,https://www.epicurious.com/recipes/food/views/pistachio-and-pomegranate-meatballs-kufteh-ye-pesteh-o-anar,4.33
3,Iranian Rice Cookies,https://www.epicurious.com/recipes/food/views/iranian-rice-cookies,5
4,Roasted Black Bass with Orange-Flower Water,https://www.epicurious.com/recipes/food/views/roasted-black-bass-with-orange-flower-water,0
5,"Herb Rice with Green Garlic, Saffron, and Crispy Shallots",https://www.epicurious.com/recipes/food/views/herb-rice-with-green-garlic-saffron-and-crispy-shallots,5
6,"Yogurt with Raisins, Cucumber, and Walnuts",https://www.epicurious.com/recipes/food/views/yogurt-with-raisins-cucumber-and-walnuts,0
7,Persian Herb and Leek Frittata,https://www.epicurious.com/recipes/food/views/persian-herb-and-leek-frittata,4.17
8,Saffron–Rose Water Brittle with Pistachios and Almonds,https://www.epicurious.com/recipes/food/views/saffron-rose-water-brittle-with-pistachios-and-almonds,4
9,Persian Cream Puffs (Noon'e Chamei),https://www.epicurious.com/recipes/food/views/persian-cream-puffs-em-noone-chamei-em-51110000,3.4
10,Quince Stew (Chorosht'e Be),https://www.epicurious.com/recipes/food/views/quince-stew-em-choroshte-be-em-51109810,3.57
11,Persian Steamed White Rice (Chelo),https://www.epicurious.com/recipes/food/views/persian-steamed-white-rice-em-chelo-em-51109800,3.71
12,Persian Rice,https://www.epicurious.com/recipes/food/views/persian-rice-395037,3.57
13,Mixed Pulses and Herb Soup,https://www.epicurious.com/recipes/food/views/mixed-pulses-and-herb-soup-366151,3.85
14,Okra and Lamb Khoresht,https://www.epicurious.com/recipes/food/views/okra-and-lamb-khoresht-366171,3.5
15,"Rice with Green Lentils, Raisins, and Dates",https://www.epicurious.com/recipes/food/views/rice-with-green-lentils-raisins-and-dates-366172,3.25
16,"Persian New Year's Soup with Beans, Noodles, and Herbs (Ash-e-reshteh)",https://www.epicurious.com/recipes/food/views/persian-new-years-soup-with-beans-noodles-and-herbs-em-ash-e-reshteh-em-363446,3.08
17,Polow (Persian Rice with Pistachios and Dill),https://www.epicurious.com/recipes/food/views/-em-polow-em-persian-rice-with-pistachios-and-dill-352469,3.58
